Address,District,Community,Area,RentPrice,Layer,Shape,Toward,Release_Date,Rent_Period,Is_lift,Is_parking,water_way,electricity_way,Subwayline_Number,Subway_Distance,Is_TV,Is_fridge,Is_washer,Is_air,Is_heater,Is_bed,Is_heating,Is_wifi,Is_closet,Is_gas,Is_img,Catch_time
浦东,周浦,菱翔苑,132,6000元/月 ,中楼层/6层,3室2厅,南/北,今天,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/37b5d70d-0650-4ff9-b11d-af05155dcec6.jpg.780x439.jpg,2019-07-13 12:45:24
浦东,潍坊,新明大楼,70,7800元/月 ,低楼层/18层,2室1厅,东南,1天前,暂无数据,有,暂无数据,民水,民电,3,525,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/3264bf03-f62f-47d6-85d7-a8beb65ad025.jpg.780x439.jpg,2019-07-13 12:45:29
徐汇,华东理工,家乐苑,65,4600元/月 ,高楼层/6层,2室1厅,南,12天前,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/cc90d902-dade-4798-858a-830edf00c163.jpg.780x439.jpg,2019-07-13 12:45:34
普陀,长寿路,德怡苑,47,6000元/月 (季付价),中楼层/7层,2室1厅,南,1个月前,1年以内,无,暂无数据,民水,民电,2,499,1,1,1,1,1,1,1,1,1,1,https://image1.ljcdn.com/hdic-frame/prod-104ac2d9-2625-48c9-a1c0-3e8747322e4e.png.780x439.jpg,2019-07-13 12:45:38
嘉定,江桥,嘉旺苑,62,4000元/月 ,高楼层/13层,1室1厅,南,今天,暂无数据,有,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/48026a5d-df18-48c1-a32f-27d42818dc44.jpg.780x439.jpg,2019-07-13 12:45:43
徐汇,衡山路,吴兴路24弄,20,4600元/月 ,低楼层/3层,1室1厅,南,2个月前,暂无数据,无,暂无数据,暂无数据,暂无数据,4,331,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/2fea0aa3-a6ce-4fb1-b885-f19e1d6ac840.jpg.780x439.jpg,2019-07-13 12:45:48
宝山,上大,锦秋花园(公寓),96,5500元/月 ,低楼层/6层,2室2厅,南,16天前,暂无数据,无,暂无数据,民水,民电,2,581,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/5557f8cb-e950-440d-a9a6-698547fbf1cd.jpg.780x439.jpg,2019-07-13 12:45:53
徐汇,万体馆,龙吴路9弄,58,5600元/月 (季付价),高楼层/5层,2室1厅,南,1个月前,1年以内,无,暂无数据,民水,民电,4,426,1,1,1,1,1,1,1,0,1,1,https://image1.ljcdn.com/310000-inspection/prod-b64f25c4-6866-4983-9b8e-7c758fae69af.jpg.780x439.jpg,2019-07-13 12:45:57
浦东,源深,桃林小区,103,8200元/月 ,中楼层/24层,2室1厅,南/北,今天,暂无数据,有,暂无数据,民水,民电,2,528,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/ac9f6926-521e-4950-9bcc-338ce48317c4.jpg.780x439.jpg,2019-07-13 12:46:02
浦东,康桥,海尚乐苑,79,2700元/月 (季付价),中楼层/14层,2室2厅,南,14天前,1年以内,有,暂无数据,民水,民电,1,950,0,0,0,1,0,1,0,0,0,0,https://image1.ljcdn.com/310000-inspection/38d77187-b610-4867-8b2d-99bdd8c42a3c.jpg.780x439.jpg,2019-07-13 12:46:07
静安,南京西路,南阳小区,42,6800元/月 (季付价),高楼层/25层,1室1厅,南,15天前,2~3年,有,暂无数据,民水,民电,3,695,1,1,1,1,1,1,1,1,1,1,https://image1.ljcdn.com/310000-inspection/93016e76-216a-496c-8c1c-913418bf8b1d.jpg.780x439.jpg,2019-07-13 12:46:11
杨浦,鞍山,鞍山三村,47,6000元/月 ,低楼层/5层,2室1厅,南,8天前,暂无数据,无,暂无数据,民水,民电,3,697,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/5d2604d4-1525-45a2-98a0-9591a94a3fb6.jpg.780x439.jpg,2019-07-13 12:46:16
长宁,中山公园,凯欣豪园,152,18500元/月 (季付价),中楼层/28层,3室2厅,南,1天前,1~2年,有,暂无数据,民水,民电,2,125,1,1,1,1,1,1,1,1,1,1,https://image1.ljcdn.com/310000-inspection/26de484b-10de-4ea1-b725-40f3ddc985b2.jpg.780x439.jpg,2019-07-13 12:46:21
奉贤,西渡,水岸家苑,122,2500元/月 ,高楼层/6层,3室2厅,南,8个月前,暂无数据,无,暂无数据,民水,民电,1,410,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/20428540-5326-4666-9aa3-73383a6a3060.jpg.780x439.jpg,2019-07-13 12:46:25
黄浦,五里桥,北蒙三小区,24,3800元/月 (季付价),高楼层/7层,1室1厅,北,1个月前,1~2年,有,暂无数据,民水,民电,4,386,0,1,1,1,1,1,0,0,1,1,http://vrlab-image.ljcdn.com/release/auto3dhd/f617b8fb438850ecd7caa3cb0d056f8a/screenshot/1550643893_5/pc0_ErgxRPxLx.jpg.q_70.jpg,2019-07-13 12:46:30
闵行,吴泾,虹梅景苑二街坊,89,3000元/月 ,高楼层/6层,3室1厅,南/北,12天前,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/387cf720-c670-434d-8539-2dc125de9b22.jpg.780x439.jpg,2019-07-13 12:46:35
浦东,世博,德州一村,49,5200元/月 ,高楼层/6层,2室0厅,南,2个月前,暂无数据,无,暂无数据,民水,民电,4,8,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/hdic-frame/e1e94f49-f8e4-4a8b-8063-d57220df5985.png.780x439.jpg,2019-07-13 12:46:39
长宁,中山公园,天山二村,41,4800元/月 ,低楼层/6层,1室1厅,南,2个月前,暂无数据,无,暂无数据,民水,民电,3,4,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/f5fb7648-9317-4680-b0e9-5370d1aa1b35.jpg.780x439.jpg,2019-07-13 12:46:44
长宁,中山公园,昭化小区,40,6000元/月 (季付价),高楼层/6层,2室0厅,南,1个月前,1年以内,无,暂无数据,民水,民电,2,418,1,1,1,1,1,1,1,1,1,1,https://image1.ljcdn.com/310000-inspection/4ec9b39d-9117-4a89-a7a6-8eb93f64f74a.jpg.780x439.jpg,2019-07-13 12:46:49
闵行,颛桥,南郊别墅(公寓),178,8500元/月 (季付价),低楼层/3层,4室2厅,跃层,22天前,2~3年,无,暂无数据,民水,民电,0,0,1,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/310000-inspection/3649702c-cb33-4520-96f6-3d7ff5862863.jpg.780x439.jpg,2019-07-13 12:46:54
浦东,川沙,象屿鼎城(公寓),120,5000元/月 (季付价),低楼层/14层,4室2厅,南,3个月前,1年以内,有,暂无数据,民水,民电,1,1110,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/310000-inspection/547e3e52-1e73-41e2-b376-db6003ee98a7.jpg.780x439.jpg,2019-07-13 12:46:58
长宁,中山公园,凯欣豪园,97,20000元/月 (季付价),高楼层/36层,2室2厅,南,1天前,1~2年,有,暂无数据,民水,民电,2,125,1,1,1,1,1,1,1,1,1,1,https://image1.ljcdn.com/310000-inspection/995d302b-2e80-495a-84a9-b2552ddf00b2.jpg.780x439.jpg,2019-07-13 12:47:03
虹口,凉城,水电小区,88,6000元/月 ,高楼层/7层,2室2厅,南,14天前,暂无数据,无,暂无数据,民水,民电,2,578,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/shfdfs-image/20170814/193884d9-7695-4d5d-8af5-debd53edaa85.jpg.780x439.jpg,2019-07-13 12:47:08
长宁,中山公园,凯欣豪园,86,16000元/月 (季付价),中楼层/36层,2室1厅,东南,1天前,1年以内,有,暂无数据,民水,民电,2,125,1,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/310000-inspection/09ce9e25-47ee-4a09-a5e3-9d88615742b8.jpg.780x439.jpg,2019-07-13 12:47:12
杨浦,黄兴公园,翔顺公寓,46,4000元/月 ,低楼层/6层,1室1厅,南,2个月前,暂无数据,无,暂无数据,民水,民电,1,936,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/a961cc52-9148-4941-8a06-f0adae1c4ddb.jpg.780x439.jpg,2019-07-13 12:47:17
闵行,老闵行,沧源小区,59,3500元/月 ,中楼层/6层,2室1厅,南/北,12天前,暂无数据,无,暂无数据,民水,民电,2,728,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/45452ddd-8fc3-44a5-b27a-226cde439137.jpg.780x439.jpg,2019-07-13 12:47:22
浦东,花木,四季全景台,44,9000元/月 (季付价),低楼层/20层,1室1厅,北,3个月前,1年以内,有,暂无数据,民水,民电,3,518,1,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/310000-inspection/43c45761-cc73-4261-802c-77f5b81182ae.jpg.780x439.jpg,2019-07-13 12:47:26
浦东,潍坊,泉东(二)小区,50,5800元/月 ,中楼层/6层,2室1厅,南,21天前,暂无数据,无,暂无数据,民水,民电,3,639,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/873e2d65-b645-4134-8e6b-8db174762113.jpg.780x439.jpg,2019-07-13 12:47:31
宝山,大华,馨华苑,91,6200元/月 ,低楼层/6层,2室2厅,南,2天前,暂无数据,无,暂无数据,民水,民电,2,348,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/4a14d134-9fc5-4de6-b143-930e57f256b8.jpg.780x439.jpg,2019-07-13 12:47:36
闸北,不夜城,汉中小区,42,5100元/月 ,低楼层/22层,1室1厅,南,7天前,暂无数据,有,暂无数据,民水,民电,4,116,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/b48b5ef1-63c8-4ab4-8dc9-dd4545502714.jpg.780x439.jpg,2019-07-13 12:47:40
浦东,祝桥,朝农新村,48,3000元/月 ,低楼层/3层,2室1厅,南,1个月前,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/306ccf1d-c763-4ae5-ae4a-008c7fd58f4c.jpg.780x439.jpg,2019-07-13 12:48:03
闵行,春申,祥生瑞和苑,62,3000元/月 (季付价),中楼层/11层,1室1厅,南,2天前,1年以内,有,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/e693d669-3e1a-47df-a70f-10b189925af7.jpg.780x439.jpg,2019-07-13 12:48:08
普陀,中远两湾城,中远两湾城,110,9200元/月 (季付价),中楼层/34层,2室2厅,东南,2天前,1~2年,有,暂无数据,民水,民电,3,183,1,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/310000-inspection/1dde679f-bb40-49d1-977b-547567c161c5.jpg.780x439.jpg,2019-07-13 12:48:13
静安,南京西路,骏豪国际,40,6500元/月 (季付价),中楼层/29层,1室1厅,东南,1个月前,1~2年,有,暂无数据,民水,民电,2,545,1,1,1,1,1,1,0,1,1,0,https://image1.ljcdn.com/310000-inspection/3ccd8553-b38a-4f47-a6e8-93f67f47b1eb.jpg.780x439.jpg,2019-07-13 12:48:17
浦东,泥城镇,丽都华庭,69,1200元/月 ,低楼层/13层,1室2厅,南,11天前,暂无数据,有,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,http://vrlab-image.ljcdn.com/release/auto3dhd/a09de2adcbdb9c8b6b1f865fb719131c/screenshot/1541749782_0/pc0_k7HCKfjiT.jpg.q_70.jpg,2019-07-13 12:48:22
浦东,高行,东力新村,44,3100元/月 ,低楼层/6层,1室1厅,南,15天前,暂无数据,无,暂无数据,民水,民电,1,1095,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/6acbc1bb-b729-442b-88ad-7df8b73e6ecc.jpg.780x439.jpg,2019-07-13 12:48:27
松江,松江大学城,新城家园,100,4200元/月 ,中楼层/6层,3室2厅,南,今天,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/53e277be-fe6b-4aac-aa6e-c7eb57fd0f82.jpg.780x439.jpg,2019-07-13 12:48:31
松江,佘山,佘北家园丽雅苑,59,2300元/月 (季付价),低楼层/8层,1室1厅,南,2个月前,2~3年,暂无数据,暂无数据,暂无数据,暂无数据,0,0,0,1,1,1,1,0,0,0,1,1,https://image1.ljcdn.com/310000-inspection/62397c68-d898-4fab-90bb-1ead723212db.jpg.780x439.jpg,2019-07-13 12:48:36
闵行,浦江,浦江丽都,95,2500元/月 ,高楼层/14层,3室1厅,南,2个月前,暂无数据,有,暂无数据,民水,民电,1,703,0,0,0,0,0,0,0,0,0,0,http://vrlab-image.ljcdn.com/release/vradmin/1000000022143952/images/09e6c5ce-d03b-4539-9e67-7cc427c452d8.png.q_70.jpg,2019-07-13 12:48:41
徐汇,华东理工,虹梅南路96弄,62,4800元/月 (季付价),高楼层/6层,2室1厅,南/北,20天前,1~2年,无,暂无数据,民水,民电,1,693,1,1,1,1,1,1,1,1,1,1,https://image1.ljcdn.com/310000-inspection/17b759a0-014c-46fa-bd2e-161e46570161.jpg.780x439.jpg,2019-07-13 12:48:45
